record_type,domain,graph_id,family_id,family_name,node_id,node_name,node_slug,node_implementation_state,node_directory,support_tier,maturity_state,supported_profiles,evidence_class,node_package_shape,dependency_count,declared_artifact_file_count,artifact_file_count,status_count,statuses,verification_gate_count,verification_gate_types,failure_mode_count,direct_accuracy_threshold,explanation_required,transfer_required,retention_check_days,relationship_type,dependency_id,dependency_name,dependency_slug
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1C,interdisciplinary_research_and_evidence_synthesis_explanation_and_application,a1c-interdisciplinary-research-and-evidence-synthesis-explanation-and-application,drafted,a1c-interdisciplinary-research-and-evidence-synthesis-explanation-and-application,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,A1B,interdisciplinary_research_and_evidence_synthesis_classification_and_organization,a1b-interdisciplinary-research-and-evidence-synthesis-classification-and-organization
node,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2,capstone_argument_modeling_and_public_communication,a2-capstone-argument-modeling-and-public-communication,drafted,a2-capstone-argument-modeling-and-public-communication,Incubation,Drafted,social-studies-capstone-public-argument-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2,capstone_argument_modeling_and_public_communication,a2-capstone-argument-modeling-and-public-communication,drafted,a2-capstone-argument-modeling-and-public-communication,Incubation,Drafted,social-studies-capstone-public-argument-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,A1,interdisciplinary_research_and_evidence_synthesis,a1-interdisciplinary-research-and-evidence-synthesis
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2,capstone_argument_modeling_and_public_communication,a2-capstone-argument-modeling-and-public-communication,drafted,a2-capstone-argument-modeling-and-public-communication,Incubation,Drafted,social-studies-capstone-public-argument-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,H6,historiography_public_history_and_capstone_argument,h6-historiography-public-history-and-capstone-argument
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2,capstone_argument_modeling_and_public_communication,a2-capstone-argument-modeling-and-public-communication,drafted,a2-capstone-argument-modeling-and-public-communication,Incubation,Drafted,social-studies-capstone-public-argument-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C6,advanced_civic_argument_policy_design_and_participation,c6-advanced-civic-argument-policy-design-and-participation
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2,capstone_argument_modeling_and_public_communication,a2-capstone-argument-modeling-and-public-communication,drafted,a2-capstone-argument-modeling-and-public-communication,Incubation,Drafted,social-studies-capstone-public-argument-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,G6,geospatial_analysis_and_policy_application,g6-geospatial-analysis-and-policy-application
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2,capstone_argument_modeling_and_public_communication,a2-capstone-argument-modeling-and-public-communication,drafted,a2-capstone-argument-modeling-and-public-communication,Incubation,Drafted,social-studies-capstone-public-argument-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,E6,economic_analysis_policy_tradeoffs_and_capstone_modeling,e6-economic-analysis-policy-tradeoffs-and-capstone-modeling
node,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2A,capstone_argument_modeling_and_public_communication_foundations_and_examples,a2a-capstone-argument-modeling-and-public-communication-foundations-and-examples,drafted,a2a-capstone-argument-modeling-and-public-communication-foundations-and-examples,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
node,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2B,capstone_argument_modeling_and_public_communication_classification_and_organization,a2b-capstone-argument-modeling-and-public-communication-classification-and-organization,drafted,a2b-capstone-argument-modeling-and-public-communication-classification-and-organization,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2B,capstone_argument_modeling_and_public_communication_classification_and_organization,a2b-capstone-argument-modeling-and-public-communication-classification-and-organization,drafted,a2b-capstone-argument-modeling-and-public-communication-classification-and-organization,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,A2A,capstone_argument_modeling_and_public_communication_foundations_and_examples,a2a-capstone-argument-modeling-and-public-communication-foundations-and-examples
node,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2C,capstone_argument_modeling_and_public_communication_explanation_and_application,a2c-capstone-argument-modeling-and-public-communication-explanation-and-application,drafted,a2c-capstone-argument-modeling-and-public-communication-explanation-and-application,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A2C,capstone_argument_modeling_and_public_communication_explanation_and_application,a2c-capstone-argument-modeling-and-public-communication-explanation-and-application,drafted,a2c-capstone-argument-modeling-and-public-communication-explanation-and-application,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,A2B,capstone_argument_modeling_and_public_communication_classification_and_organization,a2b-capstone-argument-modeling-and-public-communication-classification-and-organization
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C1,community_rules_roles_and_fairness,c1-community-rules-roles-and-fairness,drafted,c1-community-rules-roles-and-fairness,Incubation,Drafted,civics-entry-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C1,community_rules_roles_and_fairness,c1-community-rules-roles-and-fairness,drafted,c1-community-rules-roles-and-fairness,Incubation,Drafted,civics-entry-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,Q1,observe_describe_and_question,q1-observe-describe-and-question
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C1A,community_rules_roles_and_fairness_foundations_and_examples,c1a-community-rules-roles-and-fairness-foundations-and-examples,drafted,c1a-community-rules-roles-and-fairness-foundations-and-examples,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C1B,community_rules_roles_and_fairness_classification_and_organization,c1b-community-rules-roles-and-fairness-classification-and-organization,drafted,c1b-community-rules-roles-and-fairness-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C1B,community_rules_roles_and_fairness_classification_and_organization,c1b-community-rules-roles-and-fairness-classification-and-organization,drafted,c1b-community-rules-roles-and-fairness-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C1A,community_rules_roles_and_fairness_foundations_and_examples,c1a-community-rules-roles-and-fairness-foundations-and-examples
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C1C,community_rules_roles_and_fairness_explanation_and_application,c1c-community-rules-roles-and-fairness-explanation-and-application,drafted,c1c-community-rules-roles-and-fairness-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C1C,community_rules_roles_and_fairness_explanation_and_application,c1c-community-rules-roles-and-fairness-explanation-and-application,drafted,c1c-community-rules-roles-and-fairness-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C1B,community_rules_roles_and_fairness_classification_and_organization,c1b-community-rules-roles-and-fairness-classification-and-organization
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C1D,community_rules_roles_and_fairness_transfer_and_contextual_use,c1d-community-rules-roles-and-fairness-transfer-and-contextual-use,drafted,c1d-community-rules-roles-and-fairness-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C1D,community_rules_roles_and_fairness_transfer_and_contextual_use,c1d-community-rules-roles-and-fairness-transfer-and-contextual-use,drafted,c1d-community-rules-roles-and-fairness-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C1C,community_rules_roles_and_fairness_explanation_and_application,c1c-community-rules-roles-and-fairness-explanation-and-application
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2,institutions_rights_responsibilities_and_processes,c2-institutions-rights-responsibilities-and-processes,drafted,c2-institutions-rights-responsibilities-and-processes,Incubation,Drafted,civics-process-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2,institutions_rights_responsibilities_and_processes,c2-institutions-rights-responsibilities-and-processes,drafted,c2-institutions-rights-responsibilities-and-processes,Incubation,Drafted,civics-process-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C1,community_rules_roles_and_fairness,c1-community-rules-roles-and-fairness
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2,institutions_rights_responsibilities_and_processes,c2-institutions-rights-responsibilities-and-processes,drafted,c2-institutions-rights-responsibilities-and-processes,Incubation,Drafted,civics-process-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,Q2,compare_classify_and_sequence_evidence,q2-compare-classify-and-sequence-evidence
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2A,institutions_rights_responsibilities_and_processes_foundations_and_examples,c2a-institutions-rights-responsibilities-and-processes-foundations-and-examples,drafted,c2a-institutions-rights-responsibilities-and-processes-foundations-and-examples,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2B,institutions_rights_responsibilities_and_processes_classification_and_organization,c2b-institutions-rights-responsibilities-and-processes-classification-and-organization,drafted,c2b-institutions-rights-responsibilities-and-processes-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2B,institutions_rights_responsibilities_and_processes_classification_and_organization,c2b-institutions-rights-responsibilities-and-processes-classification-and-organization,drafted,c2b-institutions-rights-responsibilities-and-processes-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C2A,institutions_rights_responsibilities_and_processes_foundations_and_examples,c2a-institutions-rights-responsibilities-and-processes-foundations-and-examples
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2C,institutions_rights_responsibilities_and_processes_explanation_and_application,c2c-institutions-rights-responsibilities-and-processes-explanation-and-application,drafted,c2c-institutions-rights-responsibilities-and-processes-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2C,institutions_rights_responsibilities_and_processes_explanation_and_application,c2c-institutions-rights-responsibilities-and-processes-explanation-and-application,drafted,c2c-institutions-rights-responsibilities-and-processes-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C2B,institutions_rights_responsibilities_and_processes_classification_and_organization,c2b-institutions-rights-responsibilities-and-processes-classification-and-organization
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2D,institutions_rights_responsibilities_and_processes_transfer_and_contextual_use,c2d-institutions-rights-responsibilities-and-processes-transfer-and-contextual-use,drafted,c2d-institutions-rights-responsibilities-and-processes-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C2D,institutions_rights_responsibilities_and_processes_transfer_and_contextual_use,c2d-institutions-rights-responsibilities-and-processes-transfer-and-contextual-use,drafted,c2d-institutions-rights-responsibilities-and-processes-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C2C,institutions_rights_responsibilities_and_processes_explanation_and_application,c2c-institutions-rights-responsibilities-and-processes-explanation-and-application
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3,civic_decision_making_and_deliberation,c3-civic-decision-making-and-deliberation,drafted,c3-civic-decision-making-and-deliberation,Incubation,Drafted,civics-deliberation-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3,civic_decision_making_and_deliberation,c3-civic-decision-making-and-deliberation,drafted,c3-civic-decision-making-and-deliberation,Incubation,Drafted,civics-deliberation-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C2,institutions_rights_responsibilities_and_processes,c2-institutions-rights-responsibilities-and-processes
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3,civic_decision_making_and_deliberation,c3-civic-decision-making-and-deliberation,drafted,c3-civic-decision-making-and-deliberation,Incubation,Drafted,civics-deliberation-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,Q3,supported_explanation_from_evidence,q3-supported-explanation-from-evidence
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3A,civic_decision_making_and_deliberation_foundations_and_examples,c3a-civic-decision-making-and-deliberation-foundations-and-examples,drafted,c3a-civic-decision-making-and-deliberation-foundations-and-examples,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3B,civic_decision_making_and_deliberation_classification_and_organization,c3b-civic-decision-making-and-deliberation-classification-and-organization,drafted,c3b-civic-decision-making-and-deliberation-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3B,civic_decision_making_and_deliberation_classification_and_organization,c3b-civic-decision-making-and-deliberation-classification-and-organization,drafted,c3b-civic-decision-making-and-deliberation-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C3A,civic_decision_making_and_deliberation_foundations_and_examples,c3a-civic-decision-making-and-deliberation-foundations-and-examples
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3C,civic_decision_making_and_deliberation_explanation_and_application,c3c-civic-decision-making-and-deliberation-explanation-and-application,drafted,c3c-civic-decision-making-and-deliberation-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3C,civic_decision_making_and_deliberation_explanation_and_application,c3c-civic-decision-making-and-deliberation-explanation-and-application,drafted,c3c-civic-decision-making-and-deliberation-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C3B,civic_decision_making_and_deliberation_classification_and_organization,c3b-civic-decision-making-and-deliberation-classification-and-organization
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3D,civic_decision_making_and_deliberation_transfer_and_contextual_use,c3d-civic-decision-making-and-deliberation-transfer-and-contextual-use,drafted,c3d-civic-decision-making-and-deliberation-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C3D,civic_decision_making_and_deliberation_transfer_and_contextual_use,c3d-civic-decision-making-and-deliberation-transfer-and-contextual-use,drafted,c3d-civic-decision-making-and-deliberation-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C3C,civic_decision_making_and_deliberation_explanation_and_application,c3c-civic-decision-making-and-deliberation-explanation-and-application
node,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C4,constitutional_principles_and_public_policy,c4-constitutional-principles-and-public-policy,drafted,c4-constitutional-principles-and-public-policy,Incubation,Drafted,civics-policy-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C4,constitutional_principles_and_public_policy,c4-constitutional-principles-and-public-policy,drafted,c4-constitutional-principles-and-public-policy,Incubation,Drafted,civics-policy-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C3,civic_decision_making_and_deliberation,c3-civic-decision-making-and-deliberation
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C4,constitutional_principles_and_public_policy,c4-constitutional-principles-and-public-policy,drafted,c4-constitutional-principles-and-public-policy,Incubation,Drafted,civics-policy-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,H3,causation_context_and_change_over_time,h3-causation-context-and-change-over-time
dependency,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,C4,constitutional_principles_and_public_policy,c4-constitutional-principles-and-public-policy,drafted,c4-constitutional-principles-and-public-policy,Incubation,Drafted,civics-policy-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,Q4,investigation_design_representation_and_data_use,q4-investigation-design-representation-and-data-use
