node_id:ID(CapabilityNode),name,slug,domain,graph_id,family_id,family_name,implementation_state,node_directory,support_tier,maturity_state,supported_profiles:string[],evidence_class,node_package_shape,dependency_count:int,declared_artifact_file_count:int,artifact_file_count:int,status_count:int,statuses:string[],verification_gate_count:int,verification_gate_types:string[],failure_mode_count:int,direct_accuracy_threshold:float,explanation_required:boolean,transfer_required:boolean,retention_check_days:int,:LABEL
C1B,community_rules_roles_and_fairness_classification_and_organization,c1b-community-rules-roles-and-fairness-classification-and-organization,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c1b-community-rules-roles-and-fairness-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C1C,community_rules_roles_and_fairness_explanation_and_application,c1c-community-rules-roles-and-fairness-explanation-and-application,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c1c-community-rules-roles-and-fairness-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C1D,community_rules_roles_and_fairness_transfer_and_contextual_use,c1d-community-rules-roles-and-fairness-transfer-and-contextual-use,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c1d-community-rules-roles-and-fairness-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C2,institutions_rights_responsibilities_and_processes,c2-institutions-rights-responsibilities-and-processes,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c2-institutions-rights-responsibilities-and-processes,Incubation,Drafted,civics-process-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C2A,institutions_rights_responsibilities_and_processes_foundations_and_examples,c2a-institutions-rights-responsibilities-and-processes-foundations-and-examples,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c2a-institutions-rights-responsibilities-and-processes-foundations-and-examples,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C2B,institutions_rights_responsibilities_and_processes_classification_and_organization,c2b-institutions-rights-responsibilities-and-processes-classification-and-organization,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c2b-institutions-rights-responsibilities-and-processes-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C2C,institutions_rights_responsibilities_and_processes_explanation_and_application,c2c-institutions-rights-responsibilities-and-processes-explanation-and-application,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c2c-institutions-rights-responsibilities-and-processes-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C2D,institutions_rights_responsibilities_and_processes_transfer_and_contextual_use,c2d-institutions-rights-responsibilities-and-processes-transfer-and-contextual-use,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c2d-institutions-rights-responsibilities-and-processes-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C3,civic_decision_making_and_deliberation,c3-civic-decision-making-and-deliberation,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c3-civic-decision-making-and-deliberation,Incubation,Drafted,civics-deliberation-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C3A,civic_decision_making_and_deliberation_foundations_and_examples,c3a-civic-decision-making-and-deliberation-foundations-and-examples,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c3a-civic-decision-making-and-deliberation-foundations-and-examples,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C3B,civic_decision_making_and_deliberation_classification_and_organization,c3b-civic-decision-making-and-deliberation-classification-and-organization,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c3b-civic-decision-making-and-deliberation-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C3C,civic_decision_making_and_deliberation_explanation_and_application,c3c-civic-decision-making-and-deliberation-explanation-and-application,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c3c-civic-decision-making-and-deliberation-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C3D,civic_decision_making_and_deliberation_transfer_and_contextual_use,c3d-civic-decision-making-and-deliberation-transfer-and-contextual-use,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c3d-civic-decision-making-and-deliberation-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C4,constitutional_principles_and_public_policy,c4-constitutional-principles-and-public-policy,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c4-constitutional-principles-and-public-policy,Incubation,Drafted,civics-policy-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C4A,constitutional_principles_and_public_policy_foundations_and_examples,c4a-constitutional-principles-and-public-policy-foundations-and-examples,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c4a-constitutional-principles-and-public-policy-foundations-and-examples,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C4B,constitutional_principles_and_public_policy_classification_and_organization,c4b-constitutional-principles-and-public-policy-classification-and-organization,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c4b-constitutional-principles-and-public-policy-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C4C,constitutional_principles_and_public_policy_explanation_and_application,c4c-constitutional-principles-and-public-policy-explanation-and-application,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c4c-constitutional-principles-and-public-policy-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C4D,constitutional_principles_and_public_policy_transfer_and_contextual_use,c4d-constitutional-principles-and-public-policy-transfer-and-contextual-use,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c4d-constitutional-principles-and-public-policy-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C5,comparative_government_and_civic_action,c5-comparative-government-and-civic-action,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c5-comparative-government-and-civic-action,Incubation,Drafted,comparative-civics-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C5A,comparative_government_and_civic_action_foundations_and_examples,c5a-comparative-government-and-civic-action-foundations-and-examples,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c5a-comparative-government-and-civic-action-foundations-and-examples,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C5B,comparative_government_and_civic_action_classification_and_organization,c5b-comparative-government-and-civic-action-classification-and-organization,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c5b-comparative-government-and-civic-action-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C5C,comparative_government_and_civic_action_explanation_and_application,c5c-comparative-government-and-civic-action-explanation-and-application,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c5c-comparative-government-and-civic-action-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C5D,comparative_government_and_civic_action_transfer_and_contextual_use,c5d-comparative-government-and-civic-action-transfer-and-contextual-use,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c5d-comparative-government-and-civic-action-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C6,advanced_civic_argument_policy_design_and_participation,c6-advanced-civic-argument-policy-design-and-participation,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c6-advanced-civic-argument-policy-design-and-participation,Incubation,Drafted,advanced-civic-design-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C6A,advanced_civic_argument_policy_design_and_participation_foundations_and_examples,c6a-advanced-civic-argument-policy-design-and-participation-foundations-and-examples,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c6a-advanced-civic-argument-policy-design-and-participation-foundations-and-examples,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C6B,advanced_civic_argument_policy_design_and_participation_classification_and_organization,c6b-advanced-civic-argument-policy-design-and-participation-classification-and-organization,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c6b-advanced-civic-argument-policy-design-and-participation-classification-and-organization,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C6C,advanced_civic_argument_policy_design_and_participation_explanation_and_application,c6c-advanced-civic-argument-policy-design-and-participation-explanation-and-application,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c6c-advanced-civic-argument-policy-design-and-participation-explanation-and-application,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C6D,advanced_civic_argument_policy_design_and_participation_transfer_and_contextual_use,c6d-advanced-civic-argument-policy-design-and-participation-transfer-and-contextual-use,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c6d-advanced-civic-argument-policy-design-and-participation-transfer-and-contextual-use,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E1,needs_wants_choice_and_exchange,e1-needs-wants-choice-and-exchange,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e1-needs-wants-choice-and-exchange,Incubation,Drafted,economics-entry-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E1A,needs_wants_choice_and_exchange_foundations_and_examples,e1a-needs-wants-choice-and-exchange-foundations-and-examples,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e1a-needs-wants-choice-and-exchange-foundations-and-examples,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E1B,needs_wants_choice_and_exchange_classification_and_organization,e1b-needs-wants-choice-and-exchange-classification-and-organization,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e1b-needs-wants-choice-and-exchange-classification-and-organization,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E1C,needs_wants_choice_and_exchange_explanation_and_application,e1c-needs-wants-choice-and-exchange-explanation-and-application,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e1c-needs-wants-choice-and-exchange-explanation-and-application,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E2,production_consumption_and_local_markets,e2-production-consumption-and-local-markets,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e2-production-consumption-and-local-markets,Incubation,Drafted,economics-market-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E2A,production_consumption_and_local_markets_foundations_and_examples,e2a-production-consumption-and-local-markets-foundations-and-examples,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e2a-production-consumption-and-local-markets-foundations-and-examples,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E2B,production_consumption_and_local_markets_classification_and_organization,e2b-production-consumption-and-local-markets-classification-and-organization,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e2b-production-consumption-and-local-markets-classification-and-organization,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E2C,production_consumption_and_local_markets_explanation_and_application,e2c-production-consumption-and-local-markets-explanation-and-application,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e2c-production-consumption-and-local-markets-explanation-and-application,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E3,incentives_trade_and_simple_systems,e3-incentives-trade-and-simple-systems,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e3-incentives-trade-and-simple-systems,Incubation,Drafted,economics-systems-node-package,Synthetic,mastery-node-config,2,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E3A,incentives_trade_and_simple_systems_foundations_and_examples,e3a-incentives-trade-and-simple-systems-foundations-and-examples,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e3a-incentives-trade-and-simple-systems-foundations-and-examples,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E3B,incentives_trade_and_simple_systems_classification_and_organization,e3b-incentives-trade-and-simple-systems-classification-and-organization,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e3b-incentives-trade-and-simple-systems-classification-and-organization,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E3C,incentives_trade_and_simple_systems_explanation_and_application,e3c-incentives-trade-and-simple-systems-explanation-and-application,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e3c-incentives-trade-and-simple-systems-explanation-and-application,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E4,markets_labor_and_public_resource_decisions,e4-markets-labor-and-public-resource-decisions,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e4-markets-labor-and-public-resource-decisions,Incubation,Drafted,economics-public-resource-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E4A,markets_labor_and_public_resource_decisions_foundations_and_examples,e4a-markets-labor-and-public-resource-decisions-foundations-and-examples,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e4a-markets-labor-and-public-resource-decisions-foundations-and-examples,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E4B,markets_labor_and_public_resource_decisions_classification_and_organization,e4b-markets-labor-and-public-resource-decisions-classification-and-organization,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e4b-markets-labor-and-public-resource-decisions-classification-and-organization,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E4C,markets_labor_and_public_resource_decisions_explanation_and_application,e4c-markets-labor-and-public-resource-decisions-explanation-and-application,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e4c-markets-labor-and-public-resource-decisions-explanation-and-application,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E5,macroeconomic_patterns_global_trade_and_finance_basics,e5-macroeconomic-patterns-global-trade-and-finance-basics,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e5-macroeconomic-patterns-global-trade-and-finance-basics,Incubation,Drafted,economics-macroeconomics-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E5A,macroeconomic_patterns_global_trade_and_finance_basics_foundations_and_examples,e5a-macroeconomic-patterns-global-trade-and-finance-basics-foundations-and-examples,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e5a-macroeconomic-patterns-global-trade-and-finance-basics-foundations-and-examples,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E5B,macroeconomic_patterns_global_trade_and_finance_basics_classification_and_organization,e5b-macroeconomic-patterns-global-trade-and-finance-basics-classification-and-organization,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e5b-macroeconomic-patterns-global-trade-and-finance-basics-classification-and-organization,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E5C,macroeconomic_patterns_global_trade_and_finance_basics_explanation_and_application,e5c-macroeconomic-patterns-global-trade-and-finance-basics-explanation-and-application,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e5c-macroeconomic-patterns-global-trade-and-finance-basics-explanation-and-application,Incubation,Drafted,economics-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
E6,economic_analysis_policy_tradeoffs_and_capstone_modeling,e6-economic-analysis-policy-tradeoffs-and-capstone-modeling,social_studies,master_knowledge_graph,E,economics_and_exchange_systems,drafted,e6-economic-analysis-policy-tradeoffs-and-capstone-modeling,Incubation,Drafted,economic-analysis-capstone-node-package,Synthetic,mastery-node-config,3,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
