node_id:ID(CapabilityNode),name,slug,domain,graph_id,family_id,family_name,:LABEL
RC5,evidence_selection_from_text,rc5-evidence-selection-from-text,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,CapabilityNode;ElaLiteracyNode
RC6,evidence_explanation_and_text_grounded_response,rc6-evidence-explanation-and-text-grounded-response,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,CapabilityNode;ElaLiteracyNode
R4,literary_structure_theme_and_character_analysis,r4-literary-structure-theme-and-character-analysis,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,CapabilityNode;ElaLiteracyNode
R5,informational_structure_author_claim_and_source_use,r5-informational-structure-author-claim-and-source-use,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,CapabilityNode;ElaLiteracyNode
R6,disciplinary_literacy_rhetorical_analysis_and_cross_text_synthesis,r6-disciplinary-literacy-rhetorical-analysis-and-cross-text-synthesis,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,CapabilityNode;ElaLiteracyNode
L1,sentence_formation_and_basic_conventions,l1-sentence-formation-and-basic-conventions,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,CapabilityNode;ElaLiteracyNode
L2,morphology_word_meaning_and_academic_vocabulary,l2-morphology-word-meaning-and-academic-vocabulary,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,CapabilityNode;ElaLiteracyNode
L3,syntax_revision_and_style_control,l3-syntax-revision-and-style-control,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,CapabilityNode;ElaLiteracyNode
W1,drawing_dictation_labeling_and_idea_capture,w1-drawing-dictation-labeling-and-idea-capture,ela_literacy,master_knowledge_graph,W,writing_and_composition,CapabilityNode;ElaLiteracyNode
WC1,sentence_planning_and_generation,wc1-sentence-planning-and-generation,ela_literacy,master_knowledge_graph,W,writing_and_composition,CapabilityNode;ElaLiteracyNode
WC2,sentence_transcription_and_execution,wc2-sentence-transcription-and-execution,ela_literacy,master_knowledge_graph,W,writing_and_composition,CapabilityNode;ElaLiteracyNode
WC3,paragraph_structure_and_coherence,wc3-paragraph-structure-and-coherence,ela_literacy,master_knowledge_graph,W,writing_and_composition,CapabilityNode;ElaLiteracyNode
WC4,source_integration_in_structured_response,wc4-source-integration-in-structured-response,ela_literacy,master_knowledge_graph,W,writing_and_composition,CapabilityNode;ElaLiteracyNode
WC5,multi_paragraph_development_and_coherence,wc5-multi-paragraph-development-and-coherence,ela_literacy,master_knowledge_graph,W,writing_and_composition,CapabilityNode;ElaLiteracyNode
WC6,genre_controlled_explanation_narrative_and_argument,wc6-genre-controlled-explanation-narrative-and-argument,ela_literacy,master_knowledge_graph,W,writing_and_composition,CapabilityNode;ElaLiteracyNode
WC7,research_synthesis,wc7-research-synthesis,ela_literacy,master_knowledge_graph,W,writing_and_composition,CapabilityNode;ElaLiteracyNode
WC8,attribution_and_citation_control,wc8-attribution-and-citation-control,ela_literacy,master_knowledge_graph,W,writing_and_composition,CapabilityNode;ElaLiteracyNode
AC1,cross_text_synthesis_and_source_coordination,ac1-cross-text-synthesis-and-source-coordination,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,CapabilityNode;ElaLiteracyNode
AC2,disciplinary_and_rhetorical_reading,ac2-disciplinary-and-rhetorical-reading,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,CapabilityNode;ElaLiteracyNode
AC3,advanced_rhetorical_analysis_and_argument_synthesis,ac3-advanced-rhetorical-analysis-and-argument-synthesis,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,CapabilityNode;ElaLiteracyNode
AC4,literary_interpretation_and_comparative_analysis,ac4-literary-interpretation-and-comparative-analysis,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,CapabilityNode;ElaLiteracyNode
AC5,intertextual_literary_argument,ac5-intertextual-literary-argument,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,CapabilityNode;ElaLiteracyNode
