node_id:ID(CapabilityNode),name,slug,domain,graph_id,family_id,family_name,implementation_state,node_directory,support_tier,maturity_state,supported_profiles:string[],evidence_class,node_package_shape,dependency_count:int,declared_artifact_file_count:int,artifact_file_count:int,status_count:int,statuses:string[],verification_gate_count:int,verification_gate_types:string[],failure_mode_count:int,direct_accuracy_threshold:float,explanation_required:boolean,transfer_required:boolean,retention_check_days:int,:LABEL
N5,teen_numbers_and_base_ten_composition_readiness,n5-teen-numbers-and-base-ten-composition-readiness,mathematics,master_knowledge_graph,N,whole_number_and_operations,implemented,n5-teen-numbers-and-base-ten-composition-readiness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
N6,early_place_value_grouping_logic,n6-early-place-value-grouping-logic,mathematics,master_knowledge_graph,N,whole_number_and_operations,implemented,n6-early-place-value-grouping-logic,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,21,CapabilityNode;MathematicsNode
V1,two_digit_number_structure,v1-two-digit-number-structure,mathematics,master_knowledge_graph,V,place_value_and_multidigit_whole_numbers,implemented,v1-two-digit-number-structure,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
V2,compare_and_order_multidigit_numbers,v2-compare-and-order-multidigit-numbers,mathematics,master_knowledge_graph,V,place_value_and_multidigit_whole_numbers,implemented,v2-compare-and-order-multidigit-numbers,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
V3,add_subtract_within_100_strategies,v3-add-subtract-within-100-strategies,mathematics,master_knowledge_graph,V,place_value_and_multidigit_whole_numbers,implemented,v3-add-subtract-within-100-strategies,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,21,CapabilityNode;MathematicsNode
V4,regrouping_and_base_ten_equivalence,v4-regrouping-and-base-ten-equivalence,mathematics,master_knowledge_graph,V,place_value_and_multidigit_whole_numbers,implemented,v4-regrouping-and-base-ten-equivalence,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,21,CapabilityNode;MathematicsNode
V5,add_subtract_within_1000,v5-add-subtract-within-1000,mathematics,master_knowledge_graph,V,place_value_and_multidigit_whole_numbers,implemented,v5-add-subtract-within-1000,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,21,CapabilityNode;MathematicsNode
X1,tenths_as_decimal_units,x1-tenths-as-decimal-units,mathematics,master_knowledge_graph,X,decimals_and_fraction_decimal_connections,implemented,x1-tenths-as-decimal-units,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
X2,decimal_place_value_structure,x2-decimal-place-value-structure,mathematics,master_knowledge_graph,X,decimals_and_fraction_decimal_connections,implemented,x2-decimal-place-value-structure,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
X3,compare_and_order_decimals,x3-compare-and-order-decimals,mathematics,master_knowledge_graph,X,decimals_and_fraction_decimal_connections,implemented,x3-compare-and-order-decimals,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
X4,fraction_decimal_benchmark_connections,x4-fraction-decimal-benchmark-connections,mathematics,master_knowledge_graph,X,decimals_and_fraction_decimal_connections,implemented,x4-fraction-decimal-benchmark-connections,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
X5,decimal_locations_on_number_line,x5-decimal-locations-on-number-line,mathematics,master_knowledge_graph,X,decimals_and_fraction_decimal_connections,implemented,x5-decimal-locations-on-number-line,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
U1,equal_groups,u1-equal-groups,mathematics,master_knowledge_graph,U,unitizing_and_sharing,implemented,u1-equal-groups,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
U2,repeated_unit_reasoning,u2-repeated-unit-reasoning,mathematics,master_knowledge_graph,U,unitizing_and_sharing,implemented,u2-repeated-unit-reasoning,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
U3,sharing_and_fair_partitioning,u3-sharing-and-fair-partitioning,mathematics,master_knowledge_graph,U,unitizing_and_sharing,implemented,u3-sharing-and-fair-partitioning,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
U4,equal_partitioning_of_a_whole,u4-equal-partitioning-of-a-whole,mathematics,master_knowledge_graph,U,unitizing_and_sharing,implemented,u4-equal-partitioning-of-a-whole,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
U5,equal_group_multiplication_readiness,u5-equal-group-multiplication-readiness,mathematics,master_knowledge_graph,U,unitizing_and_sharing,implemented,u5-equal-group-multiplication-readiness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
U6,equal_share_division_readiness,u6-equal-share-division-readiness,mathematics,master_knowledge_graph,U,unitizing_and_sharing,implemented,u6-equal-share-division-readiness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
T1,arrays_and_rectangular_structures,t1-arrays-and-rectangular-structures,mathematics,master_knowledge_graph,T,multiplicative_reasoning_and_division,implemented,t1-arrays-and-rectangular-structures,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
T2,multiplication_fact_structure,t2-multiplication-fact-structure,mathematics,master_knowledge_graph,T,multiplicative_reasoning_and_division,implemented,t2-multiplication-fact-structure,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,21,CapabilityNode;MathematicsNode
T3,division_as_unknown_group_or_share,t3-division-as-unknown-group-or-share,mathematics,master_knowledge_graph,T,multiplicative_reasoning_and_division,implemented,t3-division-as-unknown-group-or-share,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,21,CapabilityNode;MathematicsNode
T4,multiplicative_comparison_and_scaling,t4-multiplicative-comparison-and-scaling,mathematics,master_knowledge_graph,T,multiplicative_reasoning_and_division,implemented,t4-multiplicative-comparison-and-scaling,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
T5,factors_multiples_and_divisibility,t5-factors-multiples-and-divisibility,mathematics,master_knowledge_graph,T,multiplicative_reasoning_and_division,implemented,t5-factors-multiples-and-divisibility,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,21,CapabilityNode;MathematicsNode
T6,multidigit_multiplication_structure,t6-multidigit-multiplication-structure,mathematics,master_knowledge_graph,T,multiplicative_reasoning_and_division,implemented,t6-multidigit-multiplication-structure,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
T7,multidigit_division_and_remainder_interpretation,t7-multidigit-division-and-remainder-interpretation,mathematics,master_knowledge_graph,T,multiplicative_reasoning_and_division,implemented,t7-multidigit-division-and-remainder-interpretation,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
M1,measurable_attributes,m1-measurable-attributes,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m1-measurable-attributes,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M2,iterated_units,m2-iterated-units,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m2-iterated-units,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M3,unit_size_matters,m3-unit-size-matters,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m3-unit-size-matters,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M4,length_comparison_and_ordering,m4-length-comparison-and-ordering,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m4-length-comparison-and-ordering,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M5,indirect_comparison_and_transitivity,m5-indirect-comparison-and-transitivity,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m5-indirect-comparison-and-transitivity,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M6,time_calendar_and_sequence_measurement_readiness,m6-time-calendar-and-sequence-measurement-readiness,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m6-time-calendar-and-sequence-measurement-readiness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M7,money_and_value_unit_readiness,m7-money-and-value-unit-readiness,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m7-money-and-value-unit-readiness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M8,standard_length_units_and_tool_use,m8-standard-length-units-and-tool-use,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m8-standard-length-units-and-tool-use,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M9,perimeter_area_and_unit_square_covering,m9-perimeter-area-and-unit-square-covering,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m9-perimeter-area-and-unit-square-covering,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
M10,clock_time_and_elapsed_intervals,m10-clock-time-and-elapsed-intervals,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m10-clock-time-and-elapsed-intervals,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M11,money_composition_and_exchange,m11-money-composition-and-exchange,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m11-money-composition-and-exchange,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
M12,mass_and_volume_attributes,m12-mass-and-volume-attributes,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m12-mass-and-volume-attributes,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
M13,standard_mass_volume_units_and_comparison,m13-standard-mass-volume-units-and-comparison,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m13-standard-mass-volume-units-and-comparison,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
M14,unit_conversion_within_measurement_systems,m14-unit-conversion-within-measurement-systems,mathematics,master_knowledge_graph,M,measurement_and_magnitude,implemented,m14-unit-conversion-within-measurement-systems,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,4,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
G1,shape_recognition_and_classification,g1-shape-recognition-and-classification,mathematics,master_knowledge_graph,G,geometry_and_spatial_reasoning,implemented,g1-shape-recognition-and-classification,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
G2,position_direction_and_spatial_language,g2-position-direction-and-spatial-language,mathematics,master_knowledge_graph,G,geometry_and_spatial_reasoning,implemented,g2-position-direction-and-spatial-language,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
G3,compose_and_decompose_shapes,g3-compose-and-decompose-shapes,mathematics,master_knowledge_graph,G,geometry_and_spatial_reasoning,implemented,g3-compose-and-decompose-shapes,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
G4,pattern_blocks_and_tiling_structure,g4-pattern-blocks-and-tiling-structure,mathematics,master_knowledge_graph,G,geometry_and_spatial_reasoning,implemented,g4-pattern-blocks-and-tiling-structure,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
G5,symmetry_and_equal_part_visual_reasoning,g5-symmetry-and-equal-part-visual-reasoning,mathematics,master_knowledge_graph,G,geometry_and_spatial_reasoning,implemented,g5-symmetry-and-equal-part-visual-reasoning,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
G6,polygon_attributes_and_hierarchy,g6-polygon-attributes-and-hierarchy,mathematics,master_knowledge_graph,G,geometry_and_spatial_reasoning,implemented,g6-polygon-attributes-and-hierarchy,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,2,13,14,0,,0,,0,,,,,CapabilityNode;MathematicsNode
G7,angle_concept_and_turn_measure,g7-angle-concept-and-turn-measure,mathematics,master_knowledge_graph,G,geometry_and_spatial_reasoning,implemented,g7-angle-concept-and-turn-measure,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,2,13,14,0,,0,,0,,,,,CapabilityNode;MathematicsNode
P1,repeating_patterns,p1-repeating-patterns,mathematics,master_knowledge_graph,P,pattern_and_algebraic_readiness,implemented,p1-repeating-patterns,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
P2,growing_patterns,p2-growing-patterns,mathematics,master_knowledge_graph,P,pattern_and_algebraic_readiness,implemented,p2-growing-patterns,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
P3,missing_element_pattern_reasoning,p3-missing-element-pattern-reasoning,mathematics,master_knowledge_graph,P,pattern_and_algebraic_readiness,implemented,p3-missing-element-pattern-reasoning,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
P4,rule_language_and_structure_noticing,p4-rule-language-and-structure-noticing,mathematics,master_knowledge_graph,P,pattern_and_algebraic_readiness,implemented,p4-rule-language-and-structure-noticing,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
D1,sort_and_classify_by_attribute,d1-sort-and-classify-by-attribute,mathematics,master_knowledge_graph,D,data_and_representation,implemented,d1-sort-and-classify-by-attribute,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
D2,count_and_compare_category_totals,d2-count-and-compare-category-totals,mathematics,master_knowledge_graph,D,data_and_representation,implemented,d2-count-and-compare-category-totals,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
D3,read_simple_picture_graphs_and_tallies,d3-read-simple-picture-graphs-and-tallies,mathematics,master_knowledge_graph,D,data_and_representation,implemented,d3-read-simple-picture-graphs-and-tallies,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
D4,represent_simple_data_sets,d4-represent-simple-data-sets,mathematics,master_knowledge_graph,D,data_and_representation,implemented,d4-represent-simple-data-sets,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
D5,scaled_bar_graphs_and_numerical_data,d5-scaled-bar-graphs-and-numerical-data,mathematics,master_knowledge_graph,D,data_and_representation,implemented,d5-scaled-bar-graphs-and-numerical-data,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,2,13,14,0,,0,,0,,,,,CapabilityNode;MathematicsNode
D6,line_plots_and_measurement_data,d6-line-plots-and-measurement-data,mathematics,master_knowledge_graph,D,data_and_representation,implemented,d6-line-plots-and-measurement-data,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,3,13,14,0,,0,,0,,,,,CapabilityNode;MathematicsNode
L1,ordered_positions_on_number_line,l1-ordered-positions-on-number-line,mathematics,master_knowledge_graph,L,number_line_and_linear_magnitude,implemented,l1-ordered-positions-on-number-line,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
L2,whole_number_intervals_and_jumps,l2-whole-number-intervals-and-jumps,mathematics,master_knowledge_graph,L,number_line_and_linear_magnitude,implemented,l2-whole-number-intervals-and-jumps,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
L3,multidigit_magnitude_on_number_line,l3-multidigit-magnitude-on-number-line,mathematics,master_knowledge_graph,L,number_line_and_linear_magnitude,implemented,l3-multidigit-magnitude-on-number-line,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.88,true,true,21,CapabilityNode;MathematicsNode
