Id,Label,FamilyId,FamilyLabel,Domain,GraphId,ImplementationState,NodeDirectory,SupportTier,MaturityState,SupportedProfiles,EvidenceClass,NodePackageShape,DependencyCount,DeclaredArtifactFileCount,ArtifactFileCount,StatusCount,Statuses,VerificationGateCount,VerificationGateTypes,FailureModeCount,DirectAccuracyThreshold,ExplanationRequired,TransferRequired,RetentionCheckDays
WC1,WC1 sentence_planning_and_generation,W,writing_and_composition,ela_literacy,master_knowledge_graph,seeded,wc1-sentence-planning-and-generation,Core release,Drafted,sentence-writing-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
WC2,WC2 sentence_transcription_and_execution,W,writing_and_composition,ela_literacy,master_knowledge_graph,seeded,wc2-sentence-transcription-and-execution,Core release,Drafted,sentence-writing-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
WC3,WC3 paragraph_structure_and_coherence,W,writing_and_composition,ela_literacy,master_knowledge_graph,seeded,wc3-paragraph-structure-and-coherence,Core release,Drafted,paragraph-writing-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
WC4,WC4 source_integration_in_structured_response,W,writing_and_composition,ela_literacy,master_knowledge_graph,seeded,wc4-source-integration-in-structured-response,Core release,Drafted,paragraph-writing-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
WC5,WC5 multi_paragraph_development_and_coherence,W,writing_and_composition,ela_literacy,master_knowledge_graph,seeded,wc5-multi-paragraph-development-and-coherence,Core release,Drafted,extended-composition-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
WC6,WC6 genre_controlled_explanation_narrative_and_argument,W,writing_and_composition,ela_literacy,master_knowledge_graph,seeded,wc6-genre-controlled-explanation-narrative-and-argument,Core release,Drafted,extended-composition-node-package,Synthetic,mastery-node-config,3,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
WC7,WC7 research_synthesis,W,writing_and_composition,ela_literacy,master_knowledge_graph,seeded,wc7-research-synthesis,Core release,Drafted,research-writing-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
WC8,WC8 attribution_and_citation_control,W,writing_and_composition,ela_literacy,master_knowledge_graph,seeded,wc8-attribution-and-citation-control,Core release,Drafted,research-writing-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
AC1,AC1 cross_text_synthesis_and_source_coordination,A,advanced_secondary_and_ap_adjacent_literacy,ela_literacy,master_knowledge_graph,seeded,ac1-cross-text-synthesis-and-source-coordination,Core release,Drafted,advanced-analysis-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
AC2,AC2 disciplinary_and_rhetorical_reading,A,advanced_secondary_and_ap_adjacent_literacy,ela_literacy,master_knowledge_graph,seeded,ac2-disciplinary-and-rhetorical-reading,Core release,Drafted,advanced-analysis-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
AC3,AC3 advanced_rhetorical_analysis_and_argument_synthesis,A,advanced_secondary_and_ap_adjacent_literacy,ela_literacy,master_knowledge_graph,seeded,ac3-advanced-rhetorical-analysis-and-argument-synthesis,Core release,Drafted,advanced-rhetorical-analysis-node-package,Synthetic,mastery-node-config,3,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
AC4,AC4 literary_interpretation_and_comparative_analysis,A,advanced_secondary_and_ap_adjacent_literacy,ela_literacy,master_knowledge_graph,seeded,ac4-literary-interpretation-and-comparative-analysis,Core release,Drafted,advanced-literary-analysis-node-package,Synthetic,mastery-node-config,3,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
AC5,AC5 intertextual_literary_argument,A,advanced_secondary_and_ap_adjacent_literacy,ela_literacy,master_knowledge_graph,seeded,ac5-intertextual-literary-argument,Core release,Drafted,advanced-literary-analysis-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
